time,density
0,0.183955
0.2,0.184724
0.4,0.187248
0.6,0.18598
0.8,0.183296
1,0.185461
1.2,0.192945
1.4,0.195855
1.6,0.195852
1.8,0.195114
2,0.195742
2.2,0.194896
2.4,0.195742
2.6,0.196129
2.8,0.195223
3,0.193885
3.2,0.194264
3.4,0.195411
3.6,0.195937
3.8,0.196815
4,0.196004
4.2,0.196347
4.4,0.194736
4.6,0.198716
4.8,0.205797
5,0.213792
5.2,0.223574
5.4,0.244511
5.6,0.261031
5.8,0.282979
6,0.333769
6.2,0.366217
6.4,0.408688
6.6,0.439325
6.8,0.493599
7,0.521275
7.2,0.536542
7.4,0.58741
7.6,0.643636
7.8,0.663468
8,0.68732
8.2,0.711367
8.4,0.738044
8.6,0.757709
8.8,0.763675
9,0.777682
9.2,0.774413
9.4,0.781873
9.6,0.789107
9.8,0.791214
10,0.794538
10.2,0.79732
10.4,0.800968
10.6,0.811523
10.8,0.810817
11,0.808429
11.2,0.809857
11.4,0.806306
11.6,0.806692
11.8,0.805151
12,0.801768
12.2,0.802439
12.4,0.796033
12.6,0.794
12.8,0.792685
13,0.793169
13.2,0.79377
13.4,0.794569
13.6,0.798979
13.8,0.797913
14,0.800137
14.2,0.801074
14.4,0.799189
14.6,0.798257
14.8,0.795416
15,0.792989
15.2,0.790999
15.4,0.789076
15.6,0.788678
15.8,0.787796
16,0.787601
16.2,0.789279
16.4,0.788155
16.6,0.784433
16.8,0.787835
17,0.787019
17.2,0.785236
17.4,0.784807
17.6,0.784132
17.8,0.784339
18,0.783836
18.2,0.78336
18.4,0.783816
18.6,0.782946
18.8,0.782482
19,0.781943
19.2,0.779719
19.4,0.778482
19.6,0.776957
19.8,0.775006
20,0.774491
20.2,0.771389
20.4,0.771841
20.6,0.771486
20.8,0.770429
21,0.769251
21.2,0.768583
21.4,0.768236
21.6,0.767015
21.8,0.76545
22,0.763769
22.2,0.761427
22.4,0.760635
22.6,0.75996
22.8,0.761572
23,0.761603
23.2,0.761037
23.4,0.76037
23.6,0.759379
23.8,0.758895
24,0.759032
24.2,0.757444
24.4,0.76142
24.6,0.759597
24.8,0.75966
25,0.758489
25.2,0.757576
25.4,0.75877
25.6,0.760468
25.8,0.761931
26,0.768911
26.2,0.769637
26.4,0.767655
26.6,0.767678
26.8,0.768193
27,0.768326
27.2,0.768568
27.4,0.770039
27.6,0.769309
27.8,0.769204
28,0.769742
28.2,0.769582
28.4,0.770725
28.6,0.769922
28.8,0.768174
29,0.768603
29.2,0.768142
29.4,0.76897
29.6,0.769215
29.8,0.769375
30,0.769582
30.2,0.769805
30.4,0.770546
30.6,0.769379
30.8,0.769274
31,0.769391
31.2,0.770913
31.4,0.771034
31.6,0.771334
31.8,0.77117
32,0.769395
32.2,0.768977
32.4,0.770452
32.6,0.769286
32.8,0.768217
33,0.768739
33.2,0.76865
33.4,0.768447
33.6,0.769969
33.8,0.771451
34,0.770722
34.2,0.771045
34.4,0.771159
34.6,0.771143
34.8,0.771116
35,0.773035
35.2,0.78423
35.4,0.783722
35.6,0.783906
35.8,0.784234
36,0.784339
36.2,0.78476
36.4,0.784979
36.6,0.786567
36.8,0.786278
37,0.786438
37.2,0.78579
37.4,0.785248
37.6,0.784971
37.8,0.784768
38,0.784249
38.2,0.78508
38.4,0.784491
38.6,0.78414
38.8,0.78396
39,0.78398
39.2,0.784764
39.4,0.784366
39.6,0.784503
39.8,0.784128
40,0.783882
40.2,0.784678
40.4,0.785119
40.6,0.786563
40.8,0.787913
41,0.787581
41.2,0.785279
41.4,0.78565
41.6,0.785108
41.8,0.785615
42,0.785825
42.2,0.785428
42.4,0.785221
42.6,0.785474
42.8,0.785275
43,0.785018
43.2,0.784803
43.4,0.78407
43.6,0.784066
43.8,0.784452
44,0.784632
44.2,0.784819
44.4,0.785104
44.6,0.785084
44.8,0.784608
45,0.784511
45.2,0.784183
45.4,0.783882
45.6,0.784077
45.8,0.785221
46,0.7862
46.2,0.785849
46.4,0.787632
46.6,0.787901
46.8,0.788288
47,0.788803
47.2,0.788986
47.4,0.790032
47.6,0.790597
47.8,0.790246
48,0.790332
48.2,0.789357
48.4,0.788565
48.6,0.78789
48.8,0.78725
49,0.786703
49.2,0.785798
49.4,0.784187
49.6,0.783863
49.8,0.784066
50,0.783964
50.2,0.783601
50.4,0.78478
50.6,0.784573
50.8,0.785186
51,0.784386
51.2,0.784284
51.4,0.784951
51.6,0.785236
51.8,0.785189
52,0.784877
52.2,0.784729
52.4,0.783551
52.6,0.783492
52.8,0.783223
53,0.783043
53.2,0.783254
53.4,0.783598
53.6,0.78341
53.8,0.782805
54,0.782661
54.2,0.782751
54.4,0.782642
54.6,0.782926
54.8,0.782267
55,0.78142
55.2,0.780269
55.4,0.779598
55.6,0.777452
55.8,0.778787
56,0.776988
56.2,0.777889
56.4,0.777433
56.6,0.777472
56.8,0.776804
57,0.776247
57.2,0.775127
57.4,0.773375
57.6,0.772786
57.8,0.77151
58,0.772949
58.2,0.773976
58.4,0.776141
58.6,0.784362
58.8,0.783949
59,0.783465
59.2,0.783301
59.4,0.78304
59.6,0.782739
59.8,0.782743
60,0.782692
60.2,0.782634
60.4,0.782614
60.6,0.782111
60.8,0.781268
61,0.780261
61.2,0.780207
61.4,0.779782
61.6,0.780566
61.8,0.781233
62,0.781779
62.2,0.782439
62.4,0.782345
62.6,0.781615
62.8,0.782076
63,0.78206
63.2,0.782033
63.4,0.781362
63.6,0.780066
63.8,0.783125
64,0.782884
64.2,0.782766
64.4,0.78309
64.6,0.781982
64.8,0.781553
65,0.78176
65.2,0.782353
65.4,0.782251
65.6,0.782368
65.8,0.783079
66,0.782962
66.2,0.784799
66.4,0.785728
66.6,0.78579
66.8,0.786239
67,0.785513
67.2,0.785244
67.4,0.784799
67.6,0.784823
67.8,0.785268
68,0.785755
68.2,0.785283
68.4,0.784768
68.6,0.783036
68.8,0.783149
69,0.785236
69.2,0.785751
69.4,0.788229
69.6,0.787511
69.8,0.786789
70,0.785322
70.2,0.785342
70.4,0.785759
70.6,0.785658
70.8,0.786169
71,0.78503
71.2,0.784448
71.4,0.782739
71.6,0.782677
71.8,0.784971
72,0.785182
72.2,0.78684
72.4,0.788713
72.6,0.787371
72.8,0.78725
73,0.787226
73.2,0.786817
73.4,0.786653
73.6,0.787078
73.8,0.78677
74,0.790434
74.2,0.78945
74.4,0.787823
74.6,0.786575
74.8,0.78579
75,0.786052
75.2,0.786024
75.4,0.786071
75.6,0.786227
75.8,0.785915
76,0.785115
76.2,0.784776
76.4,0.784514
76.6,0.783953
76.8,0.784019
77,0.78485
77.2,0.784803
77.4,0.784553
77.6,0.783332
77.8,0.782599
78,0.782571
78.2,0.783028
78.4,0.784456
78.6,0.785568
78.8,0.786957
79,0.786965
79.2,0.787858
79.4,0.78716
79.6,0.786902
79.8,0.786469
80,0.784823
80.2,0.783789
80.4,0.784144
80.6,0.779466
80.8,0.777222
81,0.778724
81.2,0.782708
81.4,0.786774
81.6,0.790301
81.8,0.796423
82,0.79725
82.2,0.793586
82.4,0.793098
82.6,0.793574
82.8,0.79446
83,0.796411
83.2,0.799423
83.4,0.80361
83.6,0.809997
83.8,0.81267
84,0.821094
84.2,0.826557
84.4,0.827762
84.6,0.824762
84.8,0.819572
85,0.813333
85.2,0.795873
85.4,0.777663
85.6,0.774366
85.8,0.771557
86,0.775735
86.2,0.772532
86.4,0.778853
86.6,0.786508
86.8,0.801839
87,0.806279
87.2,0.81553
87.4,0.810945
87.6,0.797398
87.8,0.78764
88,0.78334
88.2,0.776652
88.4,0.773402
88.6,0.772766
88.8,0.771802
89,0.769863
89.2,0.756866
89.4,0.750592
89.6,0.742012
89.8,0.728949
90,0.722121
90.2,0.718137
90.4,0.711582
90.6,0.703392
90.8,0.672583
91,0.67382
91.2,0.671498
91.4,0.676282
91.6,0.685276
91.8,0.683313
92,0.688073
92.2,0.686665
92.4,0.69203
92.6,0.706626
92.8,0.69338
93,0.704972
93.2,0.715421
93.4,0.709685
93.6,0.710739
93.8,0.682939
94,0.668439
94.2,0.641915
94.4,0.613767
94.6,0.56293
94.8,0.540573
95,0.560351
95.2,0.601242
95.4,0.632363
95.6,0.645579
95.8,0.645165
96,0.63401
96.2,0.618285
96.4,0.59555
96.6,0.576883
96.8,0.581889
97,0.572123
97.2,0.56247
97.4,0.559395
97.6,0.545189
97.8,0.538006
98,0.548849
98.2,0.557132
98.4,0.564675
98.6,0.58164
98.8,0.580422
99,0.571046
99.2,0.576357
99.4,0.567812
99.6,0.566692
99.8,0.575284
100,0.57819
100.2,0.605171
100.4,0.621813
100.6,0.641782
100.8,0.688994
101,0.708495
101.2,0.744084
101.4,0.768634
101.6,0.762789
101.8,0.769266
102,0.768868
102.2,0.771635
102.4,0.774538
102.6,0.776204
102.8,0.775185
103,0.767928
103.2,0.765044
103.4,0.765294
103.6,0.754607
103.8,0.730186
104,0.725882
104.2,0.696927
104.4,0.681729
104.6,0.651623
104.8,0.638228
105,0.627966
105.2,0.612394
105.4,0.590407
105.6,0.580325
105.8,0.584824
106,0.606795
106.2,0.61594
106.4,0.608336
106.6,0.597044
106.8,0.599771
107,0.598332
107.2,0.609241
107.4,0.625812
107.6,0.628637
107.8,0.622027
108,0.611777
108.2,0.598375
108.4,0.586568
108.6,0.58336
108.8,0.613186
109,0.619042
109.2,0.622308
109.4,0.621988
109.6,0.62319
109.8,0.642602
110,0.655556
110.2,0.662606
110.4,0.651763
110.6,0.641802
110.8,0.636772
111,0.623623
111.2,0.606112
111.4,0.551795
111.6,0.521251
111.8,0.506967
112,0.495761
112.2,0.482416
112.4,0.478292
112.6,0.471546
112.8,0.476037
113,0.482647
113.2,0.504711
113.4,0.56071
113.6,0.587996
113.8,0.626323
114,0.609241
114.2,0.623834
114.4,0.621579
114.6,0.627868
114.8,0.62742
115,0.62868
115.2,0.61582
115.4,0.530608
115.6,0.464823
115.8,0.397158
116,0.343664
116.2,0.299636
116.4,0.275854
116.6,0.258585
116.8,0.250356
117,0.242506
117.2,0.240715
117.4,0.228799
117.6,0.212317
117.8,0.203885
118,0.19321
118.2,0.179437
118.4,0.161992
118.6,0.152073
118.8,0.142042
119,0.136372
119.2,0.137516
119.4,0.136341
119.6,0.134258
119.8,0.134074
120,0.133188
120.2,0.133469
120.4,0.134347
120.6,0.134784
120.8,0.136392
121,0.136123
121.2,0.13576
121.4,0.135935
121.6,0.135514
121.8,0.135089
122,0.134355
122.2,0.1332
122.4,0.132697
122.6,0.132404
122.8,0.131874
123,0.131249
123.2,0.131308
123.4,0.131511
123.6,0.131643
123.8,0.130293
124,0.130812
124.2,0.131144
124.4,0.130387
124.6,0.13178
124.8,0.134
125,0.138869
125.2,0.139045
125.4,0.135085
125.6,0.130691
125.8,0.141484
126,0.160973
126.2,0.167918
126.4,0.166908
126.6,0.182773
126.8,0.206574
127,0.222337
127.2,0.23796
127.4,0.247586
127.6,0.257976
127.8,0.262709
128,0.243036
128.2,0.223937
128.4,0.197096
128.6,0.190881
128.8,0.192878
129,0.203745
129.2,0.214896
129.4,0.221455
129.6,0.210991
129.8,0.197151
130,0.191521
130.2,0.184353
130.4,0.181267
130.6,0.179296
130.8,0.179269
131,0.178988
131.2,0.180377
131.4,0.181419
131.6,0.183463
131.8,0.172694
132,0.171809
132.2,0.17452
132.4,0.168703
132.6,0.157294
132.8,0.148039
133,0.140633
133.2,0.140262
133.4,0.139424
133.6,0.139853
133.8,0.156724
134,0.176023
134.2,0.212801
134.4,0.242751
134.6,0.279553
134.8,0.335782
135,0.366205
135.2,0.395305
135.4,0.422465
135.6,0.450363
135.8,0.462509
136,0.456302
136.2,0.425036
136.4,0.347211
136.6,0.29504
136.8,0.275456
137,0.261129
137.2,0.232111
137.4,0.200307
137.6,0.167267
137.8,0.162152
138,0.171695
138.2,0.175117
138.4,0.16864
138.6,0.155421
138.8,0.133083
139,0.122583
139.2,0.118986
139.4,0.118003
139.6,0.117878
139.8,0.118092
140,0.118225
140.2,0.118038
140.4,0.11803
140.6,0.118802
140.8,0.119001
141,0.11897
141.2,0.118888
141.4,0.118838
141.6,0.118849
141.8,0.118994
142,0.119138
142.2,0.119337
142.4,0.119216
142.6,0.119111
142.8,0.119076
143,0.118935
143.2,0.118748
143.4,0.11876
143.6,0.118724
143.8,0.118795
144,0.118412
144.2,0.118471
144.4,0.11984
144.6,0.119712
144.8,0.119661
145,0.119497
145.2,0.119501
145.4,0.11947
145.6,0.119524
145.8,0.11938
146,0.119731
146.2,0.119571
146.4,0.119602
146.6,0.127055
146.8,0.139861
147,0.151909
147.2,0.164618
147.4,0.182492
147.6,0.179148
147.8,0.174197
148,0.175746
148.2,0.179082
148.4,0.177853
148.6,0.19664
148.8,0.222189
149,0.274298
149.2,0.303468
149.4,0.346231
149.6,0.370384
149.8,0.389413
150,0.398305
150.2,0.394692
150.4,0.381664
150.6,0.37139
150.8,0.364628
151,0.34309
151.2,0.316784
151.4,0.31195
151.6,0.316866
151.8,0.328693
152,0.327635
152.2,0.333991
152.4,0.33419
152.6,0.340051
152.8,0.349193
153,0.366361
153.2,0.356899
153.4,0.338233
153.6,0.314845
153.8,0.297607
154,0.290346
154.2,0.289468
154.4,0.287068
154.6,0.293561
154.8,0.301587
155,0.312703
155.2,0.319137
155.4,0.319137
155.6,0.317409
155.8,0.314834
156,0.310659
156.2,0.305106
156.4,0.307779
156.6,0.318552
156.8,0.329317
157,0.337288
157.2,0.34368
157.4,0.346274
157.6,0.352295
157.8,0.361269
158,0.36821
158.2,0.378652
158.4,0.391969
158.6,0.400346
158.8,0.404868
159,0.405223
159.2,0.407451
159.4,0.411189
159.6,0.411852
159.8,0.414107
160,0.415087
160.2,0.427217
160.4,0.437351
160.6,0.446243
160.8,0.453563
161,0.457316
161.2,0.48466
161.4,0.498812
161.6,0.543117
161.8,0.577176
162,0.613244
162.2,0.627568
162.4,0.631821
162.6,0.633085
162.8,0.644997
163,0.647022
163.2,0.651186
163.4,0.65993
163.6,0.666184
163.8,0.670382
164,0.669875
164.2,0.684035
164.4,0.683976
164.6,0.680094
164.8,0.673543
165,0.673192
165.2,0.6719
165.4,0.666161
165.6,0.661502
165.8,0.656344
166,0.656757
166.2,0.659414
166.4,0.656726
166.6,0.660058
166.8,0.666457
167,0.680867
167.2,0.686634
167.4,0.700009
167.6,0.698597
167.8,0.698881
168,0.69734
168.2,0.696852
168.4,0.695807
168.6,0.694145
168.8,0.694113
169,0.693528
169.2,0.691792
169.4,0.691936
169.6,0.690793
169.8,0.689018
170,0.688998
170.2,0.69052
170.4,0.701382
170.6,0.701936
170.8,0.700384
171,0.697621
171.2,0.697309
171.4,0.697602
171.6,0.696579
171.8,0.695413
172,0.699853
172.2,0.698842
172.4,0.698175
172.6,0.697508
172.8,0.694742
173,0.693056
173.2,0.694051
173.4,0.694808
173.6,0.696435
173.8,0.694207
174,0.692724
174.2,0.693247
174.4,0.687605
174.6,0.684425
174.8,0.685518
175,0.691491
175.2,0.691015
175.4,0.69137
175.6,0.691277
175.8,0.690691
